beta,energy,varience,standard_deviation
0,348350,1.95015e+11,441605
0.01,12.4428,307.865,17.5461
0.02,6.25509,77.4869,8.80266
0.03,4.17621,34.3289,5.85909
0.04,3.14994,19.2239,4.38451
0.05,2.53109,12.3087,3.50837
0.06,2.11724,8.44936,2.90678
0.07,1.82208,6.12686,2.47525
0.08,1.60393,4.6413,2.15437
0.09,1.43536,3.61382,1.90101
0.1,1.29984,2.87983,1.69701
0.11,1.1903,2.3313,1.52686
0.12,1.10179,1.93319,1.39039
0.13,1.02797,1.61307,1.27007
0.14,0.962506,1.3541,1.16366
0.15,0.907554,1.1505,1.07261
0.16,0.861284,0.983291,0.99161
0.17,0.819823,0.843907,0.918644
0.18,0.78493,0.73253,0.855879
0.19,0.753134,0.634041,0.796267
0.2,0.724692,0.551298,0.742494
0.21,0.701081,0.482313,0.694488
0.22,0.6788,0.420979,0.648829
0.23,0.658484,0.367687,0.606372
0.24,0.641019,0.321723,0.567207
0.25,0.625539,0.282024,0.531059
0.26,0.610479,0.245528,0.495508
0.27,0.5978,0.215009,0.463691
0.28,0.586381,0.18731,0.432793
0.29,0.575738,0.16308,0.403832
0.3,0.566625,0.14241,0.377372
0.31,0.558129,0.123116,0.350878
0.32,0.55051,0.106374,0.32615
0.33,0.543755,0.091462,0.302427
0.34,0.537636,0.0781125,0.279486
0.35,0.531927,0.0661288,0.257155
0.36,0.527292,0.055828,0.23628
0.37,0.522901,0.0467097,0.216124
0.38,0.518835,0.0384983,0.19621
0.39,0.515609,0.031534,0.177578
0.4,0.512518,0.0252923,0.159036
0.41,0.509905,0.0199878,0.141378
0.42,0.50769,0.0153837,0.124031
0.43,0.505719,0.0114755,0.107124
0.44,0.504074,0.00819914,0.0905491
0.45,0.502782,0.00557405,0.0746596
0.46,0.501743,0.00348977,0.0590743
0.47,0.500956,0.00191734,0.0437874
0.48,0.500413,0.000833299,0.0288669
0.49,0.500111,0.000204476,0.0142995
0.5,0.5,5.23064e-18,2.28706e-09
0.51,0.500103,0.000195891,0.0139961
0.52,0.500366,0.000771206,0.0277706
0.53,0.500866,0.00169593,0.0411816
0.54,0.501502,0.00295952,0.0544015
0.55,0.502292,0.00455639,0.0675011
0.56,0.503154,0.00646455,0.0804024
0.57,0.504328,0.00862908,0.0928928
0.58,0.505459,0.0111282,0.105491
0.59,0.506909,0.0138132,0.117529
0.6,0.508267,0.0168386,0.129764
0.61,0.509786,0.02008,0.141704
0.62,0.511539,0.023508,0.153323
0.63,0.513498,0.0271614,0.164807
0.64,0.515343,0.0310842,0.176307
0.65,0.517267,0.0351946,0.187602
0.66,0.519461,0.0395024,0.198752
0.67,0.521585,0.0440558,0.209895
0.68,0.523896,0.048717,0.220719
0.69,0.525993,0.0537981,0.231944
0.7,0.52858,0.0587284,0.24234
0.71,0.531056,0.0640268,0.253035
0.72,0.533484,0.0695209,0.263668
0.73,0.536374,0.0748851,0.273651
0.74,0.538985,0.0808025,0.284258
0.75,0.541778,0.0866323,0.294334
0.76,0.544507,0.0929996,0.304958
0.77,0.547334,0.0991164,0.314828
0.78,0.550433,0.105293,0.324489
0.79,0.553195,0.112317,0.335137
0.8,0.556218,0.118692,0.344517
0.81,0.559446,0.125517,0.354284
0.82,0.562591,0.132389,0.363853
0.83,0.565468,0.140072,0.374262
0.84,0.568893,0.147099,0.383535
0.85,0.572189,0.154227,0.392717
0.86,0.575558,0.161801,0.402246
0.87,0.578507,0.169985,0.412292
0.88,0.582194,0.177287,0.421055
0.89,0.585467,0.185554,0.43076
0.9,0.588816,0.193737,0.440156
0.91,0.59234,0.201913,0.449348
0.92,0.596116,0.209627,0.45785
0.93,0.599851,0.217841,0.466735
0.94,0.602904,0.227551,0.477023
0.95,0.606835,0.235498,0.485281
0.96,0.610524,0.244163,0.494129
0.97,0.614045,0.253226,0.503216
0.98,0.617539,0.262914,0.512751
0.99,0.621267,0.271784,0.521329
1,0.62508,0.281268,0.530347
